Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run
HIFS/WTBA,Banks - Regional,0.9613,0.14222,624
FNLC/FNWD,Banks - Regional,0.8559,0.14224,624
CAC/UVSP,Banks - Regional,0.9577,0.14248,624
BOKF/SFBC,Banks - Regional,0.9515,0.14279,624
HBNC/WASH,Banks - Regional,0.9556,0.14289,624
LSBK/PFS,Banks - Regional,0.9211,0.14293,624
SBCF/SFST,Banks - Regional,0.9658,0.14294,624
HBCP/SMBC,Banks - Regional,0.9647,0.14297,624
IBOC/PLBC,Banks - Regional,0.965,0.14307,624
BOTJ/RNST,Banks - Regional,0.9296,0.14308,624
DCOM/FSFG,Banks - Regional,0.8942,0.14369,624
DCOM/EBTC,Banks - Regional,0.9157,0.14382,624
CAC/MGYR,Banks - Regional,0.9227,0.1439,624
BUSE/RVSB,Banks - Regional,0.9243,0.14406,624
DCOM/SMBC,Banks - Regional,0.851,0.14408,624
MGYR/SMBC,Banks - Regional,0.9518,0.14426,624
DCOM/SFST,Banks - Regional,0.9272,0.14427,624
CBFV/FCF,Banks - Regional,0.9337,0.14435,624
CBSH/LSBK,Banks - Regional,0.8812,0.14449,624
HBAN/SFBC,Banks - Regional,0.9736,0.14449,624
CZNC/FNWD,Banks - Regional,0.9037,0.1446,624
CAC/CCNE,Banks - Regional,0.9609,0.14468,624
FCCO/MBWM,Banks - Regional,0.9498,0.14472,624
FNB/MPB,Banks - Regional,0.8349,0.14476,624
BOTJ/FSFG,Banks - Regional,0.9404,0.14477,624
FFBC/MPB,Banks - Regional,0.9483,0.14486,624
EBTC/WBS,Banks - Regional,0.9591,0.14489,624
GABC/LSBK,Banks - Regional,0.9007,0.14508,624
BOTJ/TOWN,Banks - Regional,0.9378,0.14543,624
CCNE/SBFG,Banks - Regional,0.9391,0.14574,624
ATLO/CAC,Banks - Regional,0.8471,0.14598,624
BCAL/IBCP,Banks - Regional,0.8609,0.14608,624
FFBC/SMBC,Banks - Regional,0.934,0.14637,624
FMNB/LSBK,Banks - Regional,0.9083,0.14664,624
HBCP/MPB,Banks - Regional,0.9679,0.14668,624
FCCO/UNB,Banks - Regional,0.8777,0.147,624
FNB/PBHC,Banks - Regional,0.8543,0.14703,624
LSBK/PNFP,Banks - Regional,0.8674,0.14709,624
EFSC/SFBC,Banks - Regional,0.9671,0.14717,624
FCF/HBCP,Banks - Regional,0.9791,0.14735,624
FULT/OPOF,Banks - Regional,0.8476,0.14761,624
CBFV/MPB,Banks - Regional,0.9263,0.1479,624
CATY/EBTC,Banks - Regional,0.9566,0.1484,624
AUB/CWBC,Banks - Regional,0.9694,0.14843,624
CBFV/FFBC,Banks - Regional,0.9384,0.14859,624
AUB/BOTJ,Banks - Regional,0.9448,0.14919,624
CZNC/INDB,Banks - Regional,0.9563,0.1494,624
MTB/OVLY,Banks - Regional,0.8781,0.14942,624
CAC/EBTC,Banks - Regional,0.9593,0.14952,624
ATLO/USB,Banks - Regional,0.8924,0.14982,624
LSBK/UCB,Banks - Regional,0.8262,0.14998,624
CNOB/KEY,Banks - Regional,0.9715,0.1503,624
FCCO/PFBC,Banks - Regional,0.9442,0.15032,624
FBNC/LSBK,Banks - Regional,0.8715,0.15041,624
HWC/MGYR,Banks - Regional,0.8665,0.15049,624
GSBC/HFBL,Banks - Regional,0.9205,0.15056,624
BOTJ/NFBK,Banks - Regional,0.8741,0.15057,624
CAC/SFBC,Banks - Regional,0.9455,0.15061,624
BCAL/WTFC,Banks - Regional,0.8838,0.15073,624
BSRR/SFBC,Banks - Regional,0.9465,0.15078,624
HTBK/MPB,Banks - Regional,0.9411,0.15091,624
FCCO/WASH,Banks - Regional,0.8676,0.15092,624
CNOB/LSBK,Banks - Regional,0.9211,0.15102,624
