Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run,,LBTYA/LBTYB,Telecom Services,0.9916,0.00086,624,,Telecom Services
BNY/MHN,Asset Management,0.9828,0.08565,624,,,,,,,,
FNLC/SFBC,Banks - Regional,0.9639,0.08566,624,,,,,,,,
MVT/NXN,Asset Management,0.9218,0.08574,624,,,,,,,,
DCOM/FISI,Banks - Regional,0.9635,0.0859,624,,,,,,,,
MVF/VCV,Asset Management,0.9781,0.08594,624,,,,,,,,
NAD/PMO,Asset Management,0.9887,0.08624,624,,,,,,,,
GJR/GJT,Unknown,0.9846,0.08625,624,,,,,,,,
NNY/NUW,Asset Management,0.9818,0.08646,624,,,,,,,,
IPB/KTN,Unknown,0.9914,0.08697,624,,,,,,,,
LSBK/SNV,Banks - Regional,0.8928,0.08726,624,,,,,,,,
RFI/RQI,Asset Management,0.9939,0.08742,624,,,,,,,,
BFK/NMT,Asset Management,0.9659,0.08753,624,,,,,,,,
BLE/MYD,Asset Management,0.9883,0.08779,624,,,,,,,,
NXN/PMM,Asset Management,0.9764,0.08782,624,,,,,,,,
BFK/NAN,Asset Management,0.9698,0.08784,624,,,,,,,,
GDO/JHS,Asset Management,0.9821,0.08786,624,,,,,,,,
MFM/NZF,Asset Management,0.9788,0.08789,624,,,,,,,,
MMU/NXN,Asset Management,0.9539,0.08842,624,,,,,,,,
BRKL/SBFG,Banks - Regional,0.8902,0.08848,624,,,,,,,,
AFB/NQP,Asset Management,0.9812,0.08857,624,,,,,,,,
RBCAA/SFBC,Banks - Regional,0.9573,0.08861,624,,,,,,,,
FCCO/HBCP,Banks - Regional,0.9775,0.08888,624,,,,,,,,
FNB/MGYR,Banks - Regional,0.9152,0.08888,624,,,,,,,,
ASB/CZWI,Banks - Regional,0.9624,0.08889,624,,,,,,,,
MHN/NMT,Asset Management,0.9726,0.08894,624,,,,,,,,
FFBC/MGYR,Banks - Regional,0.9336,0.08898,624,,,,,,,,
MGYR/SMBK,Banks - Regional,0.9656,0.08918,624,,,,,,,,
LSBK/WBS,Banks - Regional,0.9187,0.08922,624,,,,,,,,
MVT/NAN,Asset Management,0.9526,0.08926,624,,,,,,,,
BUSE/LSBK,Banks - Regional,0.9177,0.0894,624,,,,,,,,
BYM/NXN,Asset Management,0.9721,0.08966,624,,,,,,,,
BOH/LSBK,Banks - Regional,0.9346,0.08972,624,,,,,,,,
BNY/NMT,Asset Management,0.9599,0.0899,624,,,,,,,,
IGI/NMI,Asset Management,0.9604,0.08996,624,,,,,,,,
BFK/MUC,Asset Management,0.9881,0.08998,624,,,,,,,,
BHK/PAI,Asset Management,0.9778,0.09022,624,,,,,,,,
DCOM/SHBI,Banks - Regional,0.9138,0.0906,624,,,,,,,,
DSM/MFM,Asset Management,0.9836,0.09073,624,,,,,,,,
BFK/MYD,Asset Management,0.986,0.09075,624,,,,,,,,
FNLC/FSFG,Banks - Regional,0.952,0.09092,624,,,,,,,,
MIY/MQT,Asset Management,0.9894,0.0911,624,,,,,,,,
AFB/NMT,Asset Management,0.974,0.09128,624,,,,,,,,
FNLC/HFBL,Banks - Regional,0.9316,0.09169,624,,,,,,,,
NXN/VMO,Asset Management,0.9629,0.09176,624,,,,,,,,
NXN/VBF,Asset Management,0.9708,0.09188,624,,,,,,,,
FRME/LSBK,Banks - Regional,0.9432,0.0923,624,,,,,,,,
HBNC/SBFG,Banks - Regional,0.9495,0.09238,624,,,,,,,,
HBNC/LSBK,Banks - Regional,0.9518,0.09277,624,,,,,,,,
CMU/CXE,Asset Management,0.9928,0.09285,624,,,,,,,,
MHD/MVF,Asset Management,0.9896,0.09316,624,,,,,,,,
NVG/PMM,Asset Management,0.9882,0.09327,624,,,,,,,,
AFB/VGM,Asset Management,0.9938,0.09359,624,,,,,,,,
LSBK/SBCF,Banks - Regional,0.8948,0.09372,624,,,,,,,,
AFB/MYI,Asset Management,0.9861,0.09396,624,,,,,,,,
IPB/PFF,Unknown,0.9848,0.09397,624,,,,,,,,
MQT/VGM,Asset Management,0.9892,0.09427,624,,,,,,,,
BOTJ/FRST,Banks - Regional,0.926,0.09431,624,,,,,,,,
MHD/MMU,Asset Management,0.9872,0.09441,624,,,,,,,,
BFK/MVF,Asset Management,0.9818,0.09449,624,,,,,,,,
BUSE/CZWI,Banks - Regional,0.9513,0.09477,624,,,,,,,,
FMN/NXC,Asset Management,0.9581,0.09481,624,,,,,,,,
MQY/MUC,Asset Management,0.9844,0.09521,624,,,,,,,,
MHN/NAN,Asset Management,0.9818,0.09521,624,,,,,,,,
EHI/HIO,Asset Management,0.9843,0.09525,624,,,,,,,,
NEA/PMO,Asset Management,0.985,0.09532,624,,,,,,,,
MMU/MYD,Asset Management,0.9869,0.09541,624,,,,,,,,
NXN/PAI,Asset Management,0.9687,0.09543,624,,,,,,,,
