Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run
MHD/MYN,Asset Management,0.9788,0.14073,624
EVN/FMN,Asset Management,0.981,0.14074,624
EOT/PNF,Asset Management,0.9311,0.1408,624
MUC/NAN,Asset Management,0.9762,0.14081,624
DSM/NAN,Asset Management,0.968,0.14097,624
BYM/NEA,Asset Management,0.9848,0.14112,624
MQT/NOM,Asset Management,0.8286,0.14116,624
MUC/MUE,Asset Management,0.9901,0.14168,624
CXH/NNY,Asset Management,0.9779,0.14174,624
MYI/NXC,Asset Management,0.9808,0.14191,624
AFB/MHF,Asset Management,0.9482,0.14201,624
NMT/VKQ,Asset Management,0.9756,0.14206,624
BFK/MHF,Asset Management,0.9056,0.14211,624
AFB/MYD,Asset Management,0.984,0.1425,624
MVF/MYI,Asset Management,0.9764,0.14259,624
MIN/VBF,Asset Management,0.9639,0.14265,624
CXH/NAN,Asset Management,0.99,0.14267,624
KTF/NMI,Asset Management,0.9502,0.14268,624
CXE/PMM,Asset Management,0.9464,0.14273,624
BTA/IGI,Asset Management,0.9711,0.14277,624
BTZ/GDO,Asset Management,0.9863,0.14284,624
AFB/NAC,Asset Management,0.9865,0.14287,624
NIM/VGM,Asset Management,0.9681,0.14313,624
BTA/MHF,Asset Management,0.9663,0.14358,624
MMU/NUV,Asset Management,0.9437,0.14373,624
NXC/SBI,Asset Management,0.9671,0.14373,624
MYD/NXC,Asset Management,0.9586,0.14377,624
PFL/PFN,Asset Management,0.9985,0.14379,624
NIM/PMO,Asset Management,0.9811,0.14384,624
MQY/VBF,Asset Management,0.9633,0.14387,624
FMN/VMO,Asset Management,0.9837,0.14426,624
CXH/IGI,Asset Management,0.9784,0.14429,624
MVF/NMI,Asset Management,0.9681,0.14431,624
BTA/CXE,Asset Management,0.9411,0.14432,624
BFK/IQI,Asset Management,0.9754,0.14444,624
MYI/MYN,Asset Management,0.985,0.14445,624
BYM/PMM,Asset Management,0.9824,0.14459,624
FMN/MQY,Asset Management,0.9843,0.1447,624
BFK/MPA,Asset Management,0.9592,0.14502,624
BYM/NQP,Asset Management,0.9845,0.14508,624
BLE/NIM,Asset Management,0.9358,0.14515,624
IGI/JMM,Asset Management,0.961,0.14526,624
MHD/NMT,Asset Management,0.9473,0.14539,624
NXN/PFO,Asset Management,0.9643,0.14545,624
BLE/MYN,Asset Management,0.9814,0.14547,624
PMO/VBF,Asset Management,0.9812,0.14556,624
PMM/PMO,Asset Management,0.9949,0.14581,624
IGI/NIM,Asset Management,0.9623,0.14582,624
IQI/NQP,Asset Management,0.9862,0.14615,624
BTA/NEA,Asset Management,0.9841,0.14617,624
IGI/NXN,Asset Management,0.9699,0.14629,624
PCQ/PML,Asset Management,0.965,0.14647,624
OIA/PMM,Asset Management,0.9764,0.14649,624
NMI/SBI,Asset Management,0.9743,0.1465,624
NUW/PMO,Asset Management,0.9608,0.14657,624
FMN/IQI,Asset Management,0.9819,0.14677,624
BFK/NXC,Asset Management,0.9454,0.14702,624
IGI/IQI,Asset Management,0.979,0.14749,624
MIY/PMM,Asset Management,0.9853,0.14749,624
MUA/NMZ,Asset Management,0.9812,0.14767,624
MFM/MUA,Asset Management,0.9847,0.14769,624
MMU/NMI,Asset Management,0.9681,0.14776,624
AFB/MUE,Asset Management,0.9903,0.14781,624
AFB/VCV,Asset Management,0.9821,0.14784,624
NNY/VBF,Asset Management,0.9638,0.14807,624
MYN/NUW,Asset Management,0.9704,0.14834,624
PPT/PTY,Asset Management,0.9586,0.14867,624
IGI/MGF,Asset Management,0.9351,0.14867,624
BTA/NXP,Asset Management,0.9663,0.14874,624
BHV/NOM,Asset Management,0.8525,0.14878,624
MVT/NMT,Asset Management,0.9422,0.1489,624
KTF/NXC,Asset Management,0.9232,0.14924,624
BKN/NEA,Asset Management,0.9751,0.1493,624
BNY/VMO,Asset Management,0.9688,0.14951,624
EOT/VBF,Asset Management,0.9422,0.14951,624
NIM/PMM,Asset Management,0.9815,0.14957,624
FMN/NAD,Asset Management,0.9734,0.14958,624
EOT/NUW,Asset Management,0.9789,0.1496,624
FMN/NUW,Asset Management,0.9686,0.14973,624
CXE/MYD,Asset Management,0.9834,0.14977,624
BYM/IGI,Asset Management,0.9693,0.15002,624
CMU/NNY,Asset Management,0.9601,0.1501,624
MQY/NXN,Asset Management,0.9698,0.15026,624
CMU/OIA,Asset Management,0.9488,0.15048,624
BLE/BYM,Asset Management,0.9685,0.15048,624
BYM/VBF,Asset Management,0.9622,0.15066,624
BLE/MGF,Asset Management,0.9208,0.15088,624
IGI/NVG,Asset Management,0.9706,0.15089,624
MHD/NMI,Asset Management,0.9611,0.15107,624
BYM/NIM,Asset Management,0.973,0.1511,624
EOT/LEO,Asset Management,0.974,0.15119,624
MYD/VGM,Asset Management,0.9841,0.1513,624
BTA/NNY,Asset Management,0.9724,0.15159,624
MHN/NUW,Asset Management,0.9675,0.15161,624
EOT/MVT,Asset Management,0.9503,0.15163,624
MFM/NVG,Asset Management,0.972,0.15179,624
MCR/VBF,Asset Management,0.9853,0.15186,624
MUA/NXN,Asset Management,0.965,0.15187,624
BLE/VCV,Asset Management,0.9659,0.15187,624
JRS/RQI,Asset Management,0.9775,0.15198,624
EOT/OIA,Asset Management,0.9727,0.15216,624
CXH/PMM,Asset Management,0.9706,0.15237,624
MPA/NOM,Asset Management,0.8004,0.15239,624
BFK/NUV,Asset Management,0.9592,0.15245,624
MQT/MQY,Asset Management,0.9907,0.15271,624
